Vardas         Pavarde        Galutinis vid. 
Vardas464      Pavarde464       4.8
Vardas467      Pavarde467       3.4
Vardas468      Pavarde468      4.84
Vardas470      Pavarde470      3.48
Vardas474      Pavarde474      3.16
Vardas475      Pavarde475      3.44
Vardas476      Pavarde476       4.8
Vardas479      Pavarde479      3.56
Vardas480      Pavarde480      2.68
Vardas482      Pavarde482      4.36
Vardas484      Pavarde484      3.08
Vardas489      Pavarde489      4.08
Vardas490      Pavarde490      4.92
Vardas493      Pavarde493      3.16
Vardas496      Pavarde496      4.68
Vardas497      Pavarde497      2.48
Vardas501      Pavarde501       3.6
Vardas503      Pavarde503      2.84
Vardas504      Pavarde504      2.36
Vardas505      Pavarde505      4.16
Vardas506      Pavarde506      3.44
Vardas508      Pavarde508      4.08
Vardas511      Pavarde511      2.92
Vardas512      Pavarde512      3.64
Vardas514      Pavarde514      4.68
Vardas522      Pavarde522      4.24
Vardas524      Pavarde524      3.64
Vardas526      Pavarde526      2.92
Vardas529      Pavarde529      4.48
Vardas530      Pavarde530      3.36
Vardas531      Pavarde531      3.16
Vardas533      Pavarde533      4.52
Vardas534      Pavarde534      3.48
Vardas535      Pavarde535      4.12
Vardas536      Pavarde536      3.76
Vardas538      Pavarde538      4.52
Vardas539      Pavarde539       4.4
Vardas545      Pavarde545      4.28
Vardas548      Pavarde548      3.28
Vardas555      Pavarde555      4.24
Vardas556      Pavarde556      2.76
Vardas559      Pavarde559      4.76
Vardas560      Pavarde560      2.44
Vardas563      Pavarde563      2.84
Vardas566      Pavarde566      3.56
Vardas567      Pavarde567      4.64
Vardas569      Pavarde569      2.76
Vardas570      Pavarde570      4.64
Vardas571      Pavarde571      4.84
Vardas574      Pavarde574      3.88
Vardas576      Pavarde576      2.12
Vardas578      Pavarde578      4.88
Vardas579      Pavarde579      4.12
Vardas581      Pavarde581      4.68
Vardas582      Pavarde582      2.84
Vardas583      Pavarde583      3.24
Vardas584      Pavarde584      3.48
Vardas586      Pavarde586      2.64
Vardas591      Pavarde591       4.6
Vardas595      Pavarde595      4.04
Vardas603      Pavarde603       4.8
Vardas606      Pavarde606      3.08
Vardas607      Pavarde607       3.8
Vardas613      Pavarde613      2.88
Vardas616      Pavarde616      2.44
Vardas618      Pavarde618      4.36
Vardas621      Pavarde621      3.12
Vardas626      Pavarde626      3.32
Vardas627      Pavarde627      4.44
Vardas628      Pavarde628      2.84
Vardas629      Pavarde629      4.48
Vardas631      Pavarde631       4.8
Vardas632      Pavarde632      3.12
Vardas633      Pavarde633      4.28
Vardas634      Pavarde634      3.52
Vardas635      Pavarde635      4.52
Vardas636      Pavarde636      3.52
Vardas639      Pavarde639      4.44
Vardas643      Pavarde643      3.92
Vardas648      Pavarde648      3.56
Vardas651      Pavarde651      2.44
Vardas652      Pavarde652         3
Vardas654      Pavarde654      3.64
Vardas659      Pavarde659      2.48
Vardas660      Pavarde660      2.28
Vardas662      Pavarde662      3.92
Vardas665      Pavarde665      2.88
Vardas666      Pavarde666      4.36
Vardas668      Pavarde668      4.64
Vardas669      Pavarde669      3.68
Vardas675      Pavarde675      3.56
Vardas677      Pavarde677      3.96
Vardas685      Pavarde685       3.2
Vardas686      Pavarde686       4.4
Vardas687      Pavarde687       3.8
Vardas689      Pavarde689      3.52
Vardas690      Pavarde690       4.4
Vardas693      Pavarde693       3.4
Vardas694      Pavarde694       3.4
Vardas699      Pavarde699      2.92
Vardas700      Pavarde700      4.64
Vardas701      Pavarde701      2.68
Vardas703      Pavarde703      4.16
Vardas704      Pavarde704      4.36
Vardas708      Pavarde708      4.48
Vardas709      Pavarde709      3.84
Vardas710      Pavarde710       2.8
Vardas711      Pavarde711       4.6
Vardas712      Pavarde712       4.6
Vardas713      Pavarde713       4.2
Vardas715      Pavarde715      4.52
Vardas716      Pavarde716      3.16
Vardas717      Pavarde717      3.24
Vardas725      Pavarde725      2.84
Vardas726      Pavarde726      2.04
Vardas728      Pavarde728      4.68
Vardas732      Pavarde732      4.52
Vardas734      Pavarde734      3.68
Vardas738      Pavarde738      3.64
Vardas739      Pavarde739      3.52
Vardas740      Pavarde740       3.4
Vardas742      Pavarde742       4.2
Vardas745      Pavarde745       4.4
Vardas746      Pavarde746      4.44
Vardas747      Pavarde747      2.84
Vardas750      Pavarde750      3.72
Vardas751      Pavarde751      4.08
Vardas752      Pavarde752      4.12
Vardas755      Pavarde755      3.48
Vardas756      Pavarde756       4.6
Vardas761      Pavarde761      4.36
Vardas762      Pavarde762       4.6
Vardas763      Pavarde763      4.28
Vardas764      Pavarde764      4.04
Vardas780      Pavarde780      2.76
Vardas781      Pavarde781      1.88
Vardas784      Pavarde784      2.36
Vardas786      Pavarde786         4
Vardas788      Pavarde788      3.32
Vardas793      Pavarde793      4.76
Vardas796      Pavarde796      4.12
Vardas805      Pavarde805      3.96
Vardas809      Pavarde809      3.84
Vardas813      Pavarde813      4.76
Vardas814      Pavarde814      2.68
Vardas815      Pavarde815       4.6
Vardas818      Pavarde818      3.16
Vardas819      Pavarde819      3.44
Vardas821      Pavarde821       4.6
Vardas823      Pavarde823      4.68
Vardas825      Pavarde825      4.64
Vardas828      Pavarde828       4.8
Vardas832      Pavarde832       3.8
Vardas833      Pavarde833      3.16
Vardas839      Pavarde839      3.44
Vardas844      Pavarde844      2.68
Vardas845      Pavarde845      3.04
Vardas847      Pavarde847      3.56
Vardas849      Pavarde849      4.76
Vardas850      Pavarde850         4
Vardas852      Pavarde852      2.12
Vardas854      Pavarde854      4.36
Vardas856      Pavarde856      4.28
Vardas857      Pavarde857      2.92
Vardas858      Pavarde858      3.52
Vardas862      Pavarde862      4.48
Vardas863      Pavarde863       3.2
Vardas867      Pavarde867       3.8
Vardas869      Pavarde869      2.76
Vardas873      Pavarde873      3.76
Vardas874      Pavarde874       3.6
Vardas875      Pavarde875      3.84
Vardas876      Pavarde876       3.8
Vardas877      Pavarde877      3.48
Vardas878      Pavarde878      3.76
Vardas886      Pavarde886       3.4
Vardas887      Pavarde887      4.68
Vardas888      Pavarde888      3.68
Vardas890      Pavarde890      2.88
Vardas891      Pavarde891      4.72
Vardas893      Pavarde893      2.36
Vardas899      Pavarde899      3.04
Vardas901      Pavarde901      4.76
Vardas902      Pavarde902      3.08
Vardas904      Pavarde904      2.32
Vardas906      Pavarde906      3.12
Vardas910      Pavarde910      3.56
Vardas912      Pavarde912      4.08
Vardas913      Pavarde913       3.6
Vardas917      Pavarde917      4.88
Vardas923      Pavarde923      2.88
Vardas926      Pavarde926      4.76
Vardas927      Pavarde927      4.48
Vardas930      Pavarde930      2.84
Vardas932      Pavarde932      2.36
Vardas935      Pavarde935      4.24
Vardas939      Pavarde939      3.48
Vardas940      Pavarde940      3.44
Vardas946      Pavarde946      3.16
Vardas956      Pavarde956      3.56
Vardas959      Pavarde959      2.76
Vardas962      Pavarde962       3.6
Vardas964      Pavarde964      4.88
Vardas967      Pavarde967      4.88
Vardas969      Pavarde969      3.16
Vardas976      Pavarde976      2.52
Vardas977      Pavarde977      4.16
Vardas978      Pavarde978      3.16
Vardas979      Pavarde979       4.6
Vardas981      Pavarde981      1.72
Vardas982      Pavarde982       3.2
Vardas985      Pavarde985      4.44
Vardas986      Pavarde986      4.24
Vardas988      Pavarde988      3.92
Vardas993      Pavarde993       4.8
Vardas995      Pavarde995      4.72
Vardas998      Pavarde998       4.4
Vardas999      Pavarde999      2.76
Vardas1000     Pavarde1000     3.56
Vardas1001     Pavarde1001      2.6
Vardas1003     Pavarde1003     3.92
Vardas1004     Pavarde1004     3.44
Vardas1005     Pavarde1005     3.92
Vardas1006     Pavarde1006     4.36
Vardas1011     Pavarde1011     4.56
Vardas1013     Pavarde1013     3.04
Vardas1016     Pavarde1016      2.6
Vardas1017     Pavarde1017     3.84
Vardas1021     Pavarde1021     4.96
Vardas1025     Pavarde1025     3.12
Vardas1026     Pavarde1026     3.64
Vardas1033     Pavarde1033     4.52
Vardas1036     Pavarde1036     2.92
Vardas1037     Pavarde1037     4.08
Vardas1038     Pavarde1038     4.28
Vardas1039     Pavarde1039      4.6
Vardas1045     Pavarde1045     2.28
Vardas1049     Pavarde1049     3.36
Vardas1050     Pavarde1050     3.24
Vardas1051     Pavarde1051     4.88
Vardas1052     Pavarde1052     3.84
Vardas1053     Pavarde1053     3.08
Vardas1055     Pavarde1055     3.52
Vardas1060     Pavarde1060     4.04
Vardas1062     Pavarde1062     1.56
Vardas1063     Pavarde1063     3.96
Vardas1066     Pavarde1066     2.96
Vardas1069     Pavarde1069     3.28
Vardas1071     Pavarde1071     4.92
Vardas1074     Pavarde1074     4.12
Vardas1075     Pavarde1075      4.6
Vardas1082     Pavarde1082     3.12
Vardas1084     Pavarde1084      3.4
Vardas1087     Pavarde1087     3.44
Vardas1090     Pavarde1090     4.48
Vardas1091     Pavarde1091     3.32
Vardas1093     Pavarde1093     4.36
Vardas1094     Pavarde1094     3.92
Vardas1095     Pavarde1095     3.84
Vardas1096     Pavarde1096     2.84
Vardas1103     Pavarde1103     3.24
Vardas1105     Pavarde1105     4.52
Vardas1108     Pavarde1108     4.68
Vardas1110     Pavarde1110        3
Vardas1119     Pavarde1119     3.24
Vardas1120     Pavarde1120     4.08
Vardas1121     Pavarde1121        3
Vardas1122     Pavarde1122     2.96
Vardas1123     Pavarde1123     3.72
Vardas1124     Pavarde1124      4.6
Vardas1125     Pavarde1125     3.84
Vardas1128     Pavarde1128     4.52
Vardas1130     Pavarde1130        4
Vardas1132     Pavarde1132     4.56
Vardas1137     Pavarde1137     2.36
Vardas1138     Pavarde1138     2.88
Vardas1139     Pavarde1139     3.96
Vardas1140     Pavarde1140     3.04
Vardas1145     Pavarde1145     4.04
Vardas1151     Pavarde1151      2.2
Vardas1155     Pavarde1155     4.04
Vardas1157     Pavarde1157     3.44
Vardas1158     Pavarde1158     1.48
Vardas1160     Pavarde1160     2.68
Vardas1162     Pavarde1162     3.84
Vardas1165     Pavarde1165     3.84
Vardas1169     Pavarde1169     3.76
Vardas1171     Pavarde1171     2.68
Vardas1172     Pavarde1172      2.6
Vardas1173     Pavarde1173     4.04
Vardas1177     Pavarde1177     3.76
Vardas1178     Pavarde1178      4.6
Vardas1188     Pavarde1188     4.36
Vardas1191     Pavarde1191     3.84
Vardas1192     Pavarde1192     2.68
Vardas1199     Pavarde1199     4.44
Vardas1200     Pavarde1200     2.88
Vardas1201     Pavarde1201     2.92
Vardas1202     Pavarde1202      2.8
Vardas1203     Pavarde1203     4.28
Vardas1204     Pavarde1204     4.24
Vardas1207     Pavarde1207      4.4
Vardas1208     Pavarde1208     4.68
Vardas1209     Pavarde1209     2.68
Vardas1210     Pavarde1210     4.84
Vardas1211     Pavarde1211     4.76
Vardas1213     Pavarde1213     3.24
Vardas1216     Pavarde1216      4.8
Vardas1218     Pavarde1218     3.84
Vardas1220     Pavarde1220     4.52
Vardas1222     Pavarde1222      4.2
Vardas1225     Pavarde1225      3.6
Vardas1226     Pavarde1226     4.04
Vardas1229     Pavarde1229     4.92
Vardas1231     Pavarde1231     2.56
Vardas1234     Pavarde1234     3.52
Vardas1235     Pavarde1235     3.28
Vardas1241     Pavarde1241     4.32
Vardas1246     Pavarde1246     3.48
Vardas1248     Pavarde1248     4.92
Vardas1249     Pavarde1249     4.68
Vardas1251     Pavarde1251     2.48
Vardas1254     Pavarde1254      2.6
Vardas1255     Pavarde1255     4.92
Vardas1256     Pavarde1256      4.4
Vardas1257     Pavarde1257     3.88
Vardas1261     Pavarde1261     4.12
Vardas1264     Pavarde1264     3.12
Vardas1270     Pavarde1270     3.36
Vardas1271     Pavarde1271     2.64
Vardas1273     Pavarde1273     2.44
Vardas1275     Pavarde1275     4.44
Vardas1276     Pavarde1276     3.36
Vardas1279     Pavarde1279     2.56
Vardas1280     Pavarde1280     4.12
Vardas1281     Pavarde1281     3.68
Vardas1289     Pavarde1289     2.44
Vardas1291     Pavarde1291     4.24
Vardas1292     Pavarde1292      4.4
Vardas1293     Pavarde1293     4.96
Vardas1294     Pavarde1294     3.84
Vardas1296     Pavarde1296      3.6
Vardas1299     Pavarde1299     4.28
Vardas1300     Pavarde1300      3.6
Vardas1302     Pavarde1302     4.08
Vardas1305     Pavarde1305     2.44
Vardas1306     Pavarde1306     4.24
Vardas1308     Pavarde1308     4.56
Vardas1310     Pavarde1310     3.84
Vardas1313     Pavarde1313     4.72
Vardas1315     Pavarde1315     4.48
Vardas1317     Pavarde1317     3.92
Vardas1320     Pavarde1320     4.24
Vardas1322     Pavarde1322     4.48
Vardas1323     Pavarde1323     3.84
Vardas1326     Pavarde1326     3.72
Vardas1329     Pavarde1329     2.04
Vardas1330     Pavarde1330     3.68
Vardas1332     Pavarde1332     3.96
Vardas1333     Pavarde1333      4.4
Vardas1336     Pavarde1336     3.12
Vardas1340     Pavarde1340     4.32
Vardas1341     Pavarde1341      2.6
Vardas1342     Pavarde1342      2.2
Vardas1343     Pavarde1343     4.76
Vardas1347     Pavarde1347     2.68
Vardas1354     Pavarde1354     4.08
Vardas1355     Pavarde1355     4.08
Vardas1357     Pavarde1357      3.4
Vardas1359     Pavarde1359     4.76
Vardas1360     Pavarde1360        3
Vardas1364     Pavarde1364     2.72
Vardas1368     Pavarde1368     2.04
Vardas1369     Pavarde1369     2.68
Vardas1371     Pavarde1371     4.36
Vardas1372     Pavarde1372     3.68
Vardas1373     Pavarde1373     4.76
Vardas1377     Pavarde1377     1.96
Vardas1382     Pavarde1382     3.16
Vardas1383     Pavarde1383     3.88
Vardas1385     Pavarde1385     4.72
Vardas1386     Pavarde1386     2.68
Vardas1387     Pavarde1387     4.44
Vardas1388     Pavarde1388     4.96
Vardas1389     Pavarde1389     3.36
Vardas1390     Pavarde1390     2.16
Vardas1393     Pavarde1393     3.68
Vardas1394     Pavarde1394     4.12
Vardas1397     Pavarde1397        4
Vardas1400     Pavarde1400      4.8
Vardas1403     Pavarde1403      2.4
Vardas1405     Pavarde1405     2.96
Vardas1406     Pavarde1406     4.08
Vardas1407     Pavarde1407     4.48
Vardas1411     Pavarde1411     4.68
Vardas1412     Pavarde1412     4.24
Vardas1414     Pavarde1414      2.8
Vardas1417     Pavarde1417     3.16
Vardas1418     Pavarde1418      4.6
Vardas1419     Pavarde1419     4.04
Vardas1422     Pavarde1422      4.4
Vardas1423     Pavarde1423     4.32
Vardas1425     Pavarde1425     4.92
Vardas1427     Pavarde1427     4.32
Vardas1429     Pavarde1429     3.96
Vardas1432     Pavarde1432     2.96
Vardas1433     Pavarde1433      3.8
Vardas1434     Pavarde1434     4.72
Vardas1435     Pavarde1435     4.84
Vardas1438     Pavarde1438      3.4
Vardas1439     Pavarde1439     4.56
Vardas1442     Pavarde1442     4.04
Vardas1443     Pavarde1443      4.6
Vardas1444     Pavarde1444      4.6
Vardas1445     Pavarde1445      3.2
Vardas1448     Pavarde1448     3.84
Vardas1452     Pavarde1452      3.4
Vardas1454     Pavarde1454      3.6
Vardas1455     Pavarde1455      3.8
Vardas1460     Pavarde1460     3.96
Vardas1462     Pavarde1462     2.36
Vardas1467     Pavarde1467     2.84
Vardas1472     Pavarde1472     3.72
Vardas1473     Pavarde1473     4.68
Vardas1474     Pavarde1474     4.04
Vardas1481     Pavarde1481     4.72
Vardas1483     Pavarde1483     3.24
Vardas1484     Pavarde1484     2.36
Vardas1485     Pavarde1485     2.84
Vardas1488     Pavarde1488     3.52
Vardas1489     Pavarde1489     4.52
Vardas1494     Pavarde1494     3.32
Vardas1496     Pavarde1496     4.28
Vardas1497     Pavarde1497     3.16
Vardas1503     Pavarde1503     4.76
Vardas1504     Pavarde1504     2.84
Vardas1508     Pavarde1508      4.8
Vardas1512     Pavarde1512     3.88
Vardas1516     Pavarde1516      2.2
Vardas1521     Pavarde1521     3.92
Vardas1524     Pavarde1524     4.64
Vardas1526     Pavarde1526     4.96
Vardas1532     Pavarde1532     4.52
Vardas1533     Pavarde1533     4.92
Vardas1534     Pavarde1534     3.72
Vardas1535     Pavarde1535     2.12
Vardas1536     Pavarde1536     4.68
Vardas1537     Pavarde1537     4.36
Vardas1540     Pavarde1540     2.52
Vardas1546     Pavarde1546     2.48
Vardas1550     Pavarde1550     4.24
Vardas1555     Pavarde1555     3.36
Vardas1559     Pavarde1559     3.24
Vardas1561     Pavarde1561      3.6
Vardas1565     Pavarde1565     4.04
Vardas1566     Pavarde1566     3.16
Vardas1571     Pavarde1571     4.52
Vardas1572     Pavarde1572     3.32
Vardas1576     Pavarde1576     3.08
Vardas1578     Pavarde1578      4.2
Vardas1580     Pavarde1580     3.44
Vardas1582     Pavarde1582     3.64
Vardas1586     Pavarde1586     2.44
Vardas1590     Pavarde1590     2.12
Vardas1595     Pavarde1595      2.6
Vardas1597     Pavarde1597     4.76
Vardas1599     Pavarde1599     3.24
Vardas1600     Pavarde1600     2.76
Vardas1602     Pavarde1602     4.44
Vardas1603     Pavarde1603     2.76
Vardas1611     Pavarde1611     3.56
Vardas1621     Pavarde1621     4.92
Vardas1624     Pavarde1624     3.24
Vardas1628     Pavarde1628     4.48
Vardas1629     Pavarde1629     4.24
Vardas1631     Pavarde1631      4.6
Vardas1633     Pavarde1633     2.68
Vardas1636     Pavarde1636     3.12
Vardas1637     Pavarde1637     4.92
Vardas1638     Pavarde1638     4.56
Vardas1639     Pavarde1639     3.88
Vardas1640     Pavarde1640     2.84
Vardas1643     Pavarde1643     3.36
Vardas1644     Pavarde1644     4.88
Vardas1649     Pavarde1649     3.04
Vardas1651     Pavarde1651     4.32
Vardas1655     Pavarde1655     4.72
Vardas1658     Pavarde1658     4.84
Vardas1660     Pavarde1660     2.36
Vardas1662     Pavarde1662     4.16
Vardas1664     Pavarde1664     3.04
Vardas1667     Pavarde1667     3.64
Vardas1670     Pavarde1670     4.92
Vardas1671     Pavarde1671     3.76
Vardas1672     Pavarde1672     4.12
Vardas1675     Pavarde1675     3.76
Vardas1677     Pavarde1677     3.08
Vardas1678     Pavarde1678     4.56
Vardas1680     Pavarde1680     4.88
Vardas1681     Pavarde1681      4.4
Vardas1685     Pavarde1685     4.92
Vardas1692     Pavarde1692     3.64
Vardas1693     Pavarde1693     2.28
Vardas1696     Pavarde1696     4.96
Vardas1697     Pavarde1697     3.16
Vardas1699     Pavarde1699      2.8
Vardas1700     Pavarde1700     4.44
Vardas1703     Pavarde1703     4.76
Vardas1709     Pavarde1709     3.52
Vardas1712     Pavarde1712     3.08
Vardas1718     Pavarde1718     4.04
Vardas1720     Pavarde1720     2.84
Vardas1723     Pavarde1723     3.52
Vardas1726     Pavarde1726     4.08
Vardas1728     Pavarde1728     4.84
Vardas1729     Pavarde1729      4.2
Vardas1730     Pavarde1730     3.32
Vardas1732     Pavarde1732     3.48
Vardas1733     Pavarde1733     3.88
Vardas1736     Pavarde1736     4.12
Vardas1740     Pavarde1740     3.92
Vardas1741     Pavarde1741     4.56
Vardas1742     Pavarde1742     1.96
Vardas1744     Pavarde1744     3.56
Vardas1746     Pavarde1746     3.12
Vardas1747     Pavarde1747     3.16
Vardas1754     Pavarde1754     4.76
Vardas1756     Pavarde1756     4.64
Vardas1761     Pavarde1761     4.88
Vardas1762     Pavarde1762     3.72
Vardas1764     Pavarde1764     3.28
Vardas1765     Pavarde1765     3.32
Vardas1767     Pavarde1767     3.76
Vardas1770     Pavarde1770     4.32
Vardas1771     Pavarde1771     3.28
Vardas1772     Pavarde1772      4.6
Vardas1778     Pavarde1778     4.48
Vardas1780     Pavarde1780      3.2
Vardas1781     Pavarde1781      2.2
Vardas1783     Pavarde1783      2.6
Vardas1784     Pavarde1784     3.16
Vardas1787     Pavarde1787     4.64
Vardas1790     Pavarde1790     3.36
Vardas1793     Pavarde1793        3
Vardas1795     Pavarde1795     2.68
Vardas1796     Pavarde1796      2.2
Vardas1799     Pavarde1799     4.48
Vardas1801     Pavarde1801      2.6
Vardas1802     Pavarde1802      3.8
Vardas1807     Pavarde1807     3.72
Vardas1811     Pavarde1811     4.72
Vardas1812     Pavarde1812     3.12
Vardas1818     Pavarde1818     4.24
Vardas1819     Pavarde1819        3
Vardas1820     Pavarde1820     4.08
Vardas1821     Pavarde1821      4.8
Vardas1824     Pavarde1824     4.44
Vardas1828     Pavarde1828      3.8
Vardas1829     Pavarde1829        4
Vardas1832     Pavarde1832     4.96
Vardas1833     Pavarde1833     3.24
Vardas1836     Pavarde1836     3.92
Vardas1838     Pavarde1838     2.76
Vardas1840     Pavarde1840     3.08
Vardas1841     Pavarde1841      3.2
Vardas1844     Pavarde1844      4.4
Vardas1845     Pavarde1845     2.96
Vardas1846     Pavarde1846     2.44
Vardas1848     Pavarde1848     3.36
Vardas1852     Pavarde1852      4.6
Vardas1853     Pavarde1853     4.44
Vardas1858     Pavarde1858     3.72
Vardas1859     Pavarde1859     4.48
Vardas1861     Pavarde1861     4.56
Vardas1862     Pavarde1862     4.32
Vardas1867     Pavarde1867     3.16
Vardas1870     Pavarde1870     4.76
Vardas1871     Pavarde1871     2.92
Vardas1873     Pavarde1873     4.28
Vardas1876     Pavarde1876     3.84
Vardas1879     Pavarde1879     2.52
Vardas1880     Pavarde1880     3.08
Vardas1881     Pavarde1881     3.56
