Vardas         Pavarde        Galutinis vid. 
Vardas196      Pavarde196      6.48
Vardas197      Pavarde197      6.24
Vardas198      Pavarde198      3.16
Vardas199      Pavarde199      7.28
Vardas200      Pavarde200       2.2
Vardas201      Pavarde201      8.04
Vardas202      Pavarde202      3.76
Vardas203      Pavarde203      7.36
Vardas204      Pavarde204      4.88
Vardas205      Pavarde205      8.56
Vardas206      Pavarde206      4.68
Vardas207      Pavarde207      5.36
Vardas208      Pavarde208      4.64
Vardas209      Pavarde209         8
Vardas210      Pavarde210      6.24
Vardas211      Pavarde211      4.28
Vardas212      Pavarde212      4.48
Vardas213      Pavarde213      6.44
Vardas214      Pavarde214      4.76
Vardas215      Pavarde215      4.56
Vardas216      Pavarde216      6.76
Vardas217      Pavarde217      3.04
Vardas218      Pavarde218      3.16
Vardas219      Pavarde219      5.84
Vardas220      Pavarde220      5.32
Vardas221      Pavarde221      5.04
Vardas222      Pavarde222      7.84
Vardas223      Pavarde223      7.36
Vardas224      Pavarde224         7
Vardas225      Pavarde225      5.64
Vardas226      Pavarde226      6.72
Vardas227      Pavarde227       3.8
Vardas228      Pavarde228      6.96
Vardas229      Pavarde229         8
Vardas230      Pavarde230      9.28
Vardas231      Pavarde231      7.08
Vardas232      Pavarde232         6
Vardas233      Pavarde233       7.2
Vardas234      Pavarde234      4.56
Vardas235      Pavarde235      7.52
Vardas236      Pavarde236      4.72
Vardas237      Pavarde237      4.96
Vardas238      Pavarde238      5.12
Vardas239      Pavarde239      4.72
Vardas240      Pavarde240      7.28
Vardas241      Pavarde241      4.12
Vardas242      Pavarde242      2.68
Vardas243      Pavarde243      4.64
Vardas244      Pavarde244       4.4
Vardas245      Pavarde245      5.12
Vardas246      Pavarde246      6.16
Vardas247      Pavarde247      6.36
Vardas248      Pavarde248      2.52
Vardas249      Pavarde249      5.88
Vardas250      Pavarde250       4.8
Vardas251      Pavarde251      4.48
Vardas252      Pavarde252      4.44
Vardas253      Pavarde253      6.04
Vardas254      Pavarde254      6.12
Vardas255      Pavarde255      7.92
Vardas256      Pavarde256      8.36
Vardas257      Pavarde257      7.48
Vardas258      Pavarde258      3.36
Vardas259      Pavarde259      7.28
Vardas260      Pavarde260      5.36
Vardas261      Pavarde261      4.12
Vardas262      Pavarde262      8.64
Vardas263      Pavarde263      5.24
Vardas264      Pavarde264      7.52
Vardas265      Pavarde265      3.48
Vardas266      Pavarde266       6.6
Vardas267      Pavarde267      4.44
Vardas268      Pavarde268      8.52
Vardas269      Pavarde269         4
Vardas270      Pavarde270      2.92
Vardas271      Pavarde271       4.6
Vardas272      Pavarde272      5.44
Vardas273      Pavarde273      8.36
Vardas274      Pavarde274      2.92
Vardas275      Pavarde275      7.04
Vardas276      Pavarde276      6.36
Vardas277      Pavarde277      6.44
Vardas278      Pavarde278      2.52
Vardas279      Pavarde279      4.72
Vardas280      Pavarde280      5.52
Vardas281      Pavarde281      3.48
Vardas282      Pavarde282      4.32
Vardas283      Pavarde283      6.04
Vardas284      Pavarde284      8.08
Vardas285      Pavarde285      7.76
Vardas286      Pavarde286      7.08
Vardas287      Pavarde287      5.16
Vardas288      Pavarde288      3.52
Vardas289      Pavarde289      5.08
Vardas290      Pavarde290         4
Vardas291      Pavarde291      2.84
Vardas292      Pavarde292      4.32
Vardas293      Pavarde293      4.44
Vardas294      Pavarde294      3.16
Vardas295      Pavarde295      3.64
Vardas296      Pavarde296      6.16
Vardas297      Pavarde297      7.12
Vardas298      Pavarde298      9.04
Vardas299      Pavarde299      8.04
Vardas300      Pavarde300      5.16
Vardas301      Pavarde301      7.76
Vardas302      Pavarde302      4.36
Vardas303      Pavarde303      7.72
Vardas304      Pavarde304      8.24
Vardas305      Pavarde305       4.2
Vardas306      Pavarde306       3.4
Vardas307      Pavarde307      5.12
Vardas308      Pavarde308       2.2
Vardas309      Pavarde309      2.36
Vardas310      Pavarde310      4.84
Vardas311      Pavarde311      6.08
Vardas312      Pavarde312       4.4
Vardas313      Pavarde313       7.2
Vardas314      Pavarde314      4.36
Vardas315      Pavarde315      3.16
Vardas316      Pavarde316      7.24
Vardas317      Pavarde317      6.28
Vardas318      Pavarde318      6.96
Vardas319      Pavarde319      2.36
Vardas320      Pavarde320      6.88
Vardas321      Pavarde321      2.72
Vardas322      Pavarde322       4.4
Vardas323      Pavarde323      3.84
Vardas324      Pavarde324       3.8
Vardas325      Pavarde325       7.8
Vardas326      Pavarde326         6
Vardas327      Pavarde327      6.92
Vardas328      Pavarde328      7.28
Vardas329      Pavarde329      3.32
Vardas330      Pavarde330      5.72
Vardas331      Pavarde331       4.2
Vardas332      Pavarde332      3.92
Vardas333      Pavarde333      5.04
Vardas334      Pavarde334      5.56
Vardas335      Pavarde335      6.36
Vardas336      Pavarde336      7.56
Vardas337      Pavarde337      4.32
Vardas338      Pavarde338      8.16
Vardas339      Pavarde339      7.68
Vardas340      Pavarde340      8.04
Vardas341      Pavarde341      5.68
Vardas342      Pavarde342      6.08
Vardas343      Pavarde343         4
Vardas344      Pavarde344      7.88
Vardas345      Pavarde345      8.32
Vardas346      Pavarde346      5.88
Vardas347      Pavarde347      5.76
Vardas348      Pavarde348      4.68
Vardas349      Pavarde349      9.04
Vardas350      Pavarde350      7.68
Vardas351      Pavarde351      5.68
Vardas352      Pavarde352      5.52
Vardas353      Pavarde353      2.76
Vardas354      Pavarde354      6.48
Vardas355      Pavarde355      7.56
Vardas356      Pavarde356      8.68
Vardas357      Pavarde357      4.36
Vardas358      Pavarde358      1.88
Vardas359      Pavarde359      8.68
Vardas360      Pavarde360      6.96
Vardas361      Pavarde361      4.28
Vardas362      Pavarde362      8.56
Vardas363      Pavarde363      3.12
Vardas364      Pavarde364      5.96
Vardas365      Pavarde365      3.44
Vardas366      Pavarde366      5.84
Vardas367      Pavarde367      7.68
Vardas368      Pavarde368      6.44
Vardas369      Pavarde369      4.56
Vardas370      Pavarde370      3.76
Vardas371      Pavarde371      2.88
Vardas372      Pavarde372      6.96
Vardas373      Pavarde373      4.88
Vardas374      Pavarde374      4.96
Vardas375      Pavarde375      6.96
Vardas376      Pavarde376         8
Vardas377      Pavarde377       5.6
Vardas378      Pavarde378      4.12
Vardas379      Pavarde379      6.12
Vardas380      Pavarde380      6.36
Vardas381      Pavarde381      6.64
Vardas382      Pavarde382      7.04
Vardas383      Pavarde383       8.8
Vardas384      Pavarde384      2.68
Vardas385      Pavarde385      6.96
Vardas386      Pavarde386       5.2
Vardas387      Pavarde387      3.52
Vardas388      Pavarde388      4.28
Vardas389      Pavarde389      5.64
Vardas390      Pavarde390      7.04
Vardas391      Pavarde391      3.24
Vardas392      Pavarde392      7.36
Vardas393      Pavarde393      3.64
Vardas394      Pavarde394      2.48
Vardas395      Pavarde395       7.6
Vardas396      Pavarde396       3.8
Vardas397      Pavarde397       7.6
Vardas398      Pavarde398      2.04
Vardas399      Pavarde399      8.24
Vardas400      Pavarde400      5.72
Vardas401      Pavarde401      4.12
Vardas402      Pavarde402       8.8
Vardas403      Pavarde403      7.08
Vardas404      Pavarde404      7.84
Vardas405      Pavarde405      8.08
Vardas406      Pavarde406       2.4
Vardas407      Pavarde407      6.68
Vardas408      Pavarde408      4.24
Vardas409      Pavarde409       4.2
Vardas410      Pavarde410      6.32
Vardas411      Pavarde411       4.2
Vardas412      Pavarde412      6.44
Vardas413      Pavarde413      3.76
Vardas414      Pavarde414         7
Vardas415      Pavarde415      7.76
Vardas416      Pavarde416      4.04
Vardas417      Pavarde417      6.52
Vardas418      Pavarde418       2.6
Vardas419      Pavarde419      3.56
Vardas420      Pavarde420      6.72
Vardas421      Pavarde421      5.68
Vardas422      Pavarde422      7.64
Vardas423      Pavarde423      8.04
Vardas424      Pavarde424      4.88
Vardas425      Pavarde425      3.24
Vardas426      Pavarde426      4.64
Vardas427      Pavarde427      2.96
Vardas428      Pavarde428       5.6
Vardas429      Pavarde429      5.48
Vardas430      Pavarde430       4.4
Vardas431      Pavarde431         7
Vardas432      Pavarde432      7.76
Vardas433      Pavarde433      4.28
Vardas434      Pavarde434       4.6
Vardas435      Pavarde435      2.04
Vardas436      Pavarde436      7.68
Vardas437      Pavarde437       1.8
Vardas438      Pavarde438      3.64
Vardas439      Pavarde439      4.84
Vardas440      Pavarde440      3.72
Vardas441      Pavarde441      3.32
Vardas442      Pavarde442      5.84
Vardas443      Pavarde443      4.24
Vardas444      Pavarde444       5.4
Vardas445      Pavarde445      6.96
Vardas446      Pavarde446      7.16
Vardas447      Pavarde447      2.76
Vardas448      Pavarde448       3.4
Vardas449      Pavarde449      6.92
Vardas450      Pavarde450      7.44
Vardas451      Pavarde451      2.76
Vardas452      Pavarde452       7.6
Vardas453      Pavarde453       2.6
Vardas454      Pavarde454      3.36
Vardas455      Pavarde455      5.32
Vardas456      Pavarde456      4.08
Vardas457      Pavarde457       7.8
Vardas458      Pavarde458      4.44
Vardas459      Pavarde459      5.04
Vardas460      Pavarde460       7.6
Vardas461      Pavarde461         3
Vardas462      Pavarde462      4.76
Vardas463      Pavarde463      2.96
Vardas464      Pavarde464       4.8
Vardas465      Pavarde465      5.48
Vardas466      Pavarde466      5.48
Vardas467      Pavarde467       3.4
Vardas468      Pavarde468      4.84
Vardas469      Pavarde469      7.56
Vardas470      Pavarde470      3.48
Vardas471      Pavarde471      8.96
Vardas472      Pavarde472      8.44
Vardas473      Pavarde473         7
Vardas474      Pavarde474      3.16
Vardas475      Pavarde475      3.44
Vardas476      Pavarde476       4.8
Vardas477      Pavarde477         8
Vardas478      Pavarde478      7.88
Vardas479      Pavarde479      3.56
Vardas480      Pavarde480      2.68
Vardas481      Pavarde481      8.32
Vardas482      Pavarde482      4.36
Vardas483      Pavarde483      6.72
Vardas484      Pavarde484      3.08
Vardas485      Pavarde485      5.56
Vardas486      Pavarde486      7.16
Vardas487      Pavarde487         6
Vardas488      Pavarde488      5.08
Vardas489      Pavarde489      4.08
Vardas490      Pavarde490      4.92
Vardas491      Pavarde491      8.56
Vardas492      Pavarde492       6.8
Vardas493      Pavarde493      3.16
Vardas494      Pavarde494       7.4
Vardas495      Pavarde495      8.24
Vardas496      Pavarde496      4.68
Vardas497      Pavarde497      2.48
Vardas498      Pavarde498       6.4
Vardas499      Pavarde499         7
Vardas500      Pavarde500      6.92
Vardas501      Pavarde501       3.6
Vardas502      Pavarde502      6.36
Vardas503      Pavarde503      2.84
Vardas504      Pavarde504      2.36
Vardas505      Pavarde505      4.16
Vardas506      Pavarde506      3.44
Vardas507      Pavarde507      8.16
Vardas508      Pavarde508      4.08
Vardas509      Pavarde509      7.08
Vardas510      Pavarde510      8.12
Vardas511      Pavarde511      2.92
Vardas512      Pavarde512      3.64
Vardas513      Pavarde513         5
Vardas514      Pavarde514      4.68
Vardas515      Pavarde515      7.44
Vardas516      Pavarde516         6
Vardas517      Pavarde517      5.92
Vardas518      Pavarde518      6.36
Vardas519      Pavarde519      6.68
Vardas520      Pavarde520      5.96
Vardas521      Pavarde521      6.36
Vardas522      Pavarde522      4.24
Vardas523      Pavarde523      8.08
Vardas524      Pavarde524      3.64
Vardas525      Pavarde525       5.2
Vardas526      Pavarde526      2.92
Vardas527      Pavarde527      7.08
Vardas528      Pavarde528      8.24
Vardas529      Pavarde529      4.48
Vardas530      Pavarde530      3.36
Vardas531      Pavarde531      3.16
Vardas532      Pavarde532      5.12
Vardas533      Pavarde533      4.52
Vardas534      Pavarde534      3.48
Vardas535      Pavarde535      4.12
Vardas536      Pavarde536      3.76
Vardas537      Pavarde537      5.04
Vardas538      Pavarde538      4.52
Vardas539      Pavarde539       4.4
Vardas540      Pavarde540      6.72
Vardas541      Pavarde541      7.92
Vardas542      Pavarde542      6.12
Vardas543      Pavarde543      8.72
Vardas544      Pavarde544      8.88
Vardas545      Pavarde545      4.28
Vardas546      Pavarde546      7.68
Vardas547      Pavarde547         8
Vardas548      Pavarde548      3.28
Vardas549      Pavarde549      8.72
Vardas550      Pavarde550      6.48
Vardas551      Pavarde551      8.08
Vardas552      Pavarde552      6.04
Vardas553      Pavarde553       8.8
Vardas554      Pavarde554      8.32
Vardas555      Pavarde555      4.24
Vardas556      Pavarde556      2.76
Vardas557      Pavarde557      7.44
Vardas558      Pavarde558      6.44
Vardas559      Pavarde559      4.76
Vardas560      Pavarde560      2.44
Vardas561      Pavarde561      8.36
Vardas562      Pavarde562      7.68
Vardas563      Pavarde563      2.84
Vardas564      Pavarde564      6.64
Vardas565      Pavarde565      5.96
Vardas566      Pavarde566      3.56
Vardas567      Pavarde567      4.64
Vardas568      Pavarde568      7.12
Vardas569      Pavarde569      2.76
Vardas570      Pavarde570      4.64
Vardas571      Pavarde571      4.84
Vardas572      Pavarde572      5.96
Vardas573      Pavarde573      5.04
Vardas574      Pavarde574      3.88
Vardas575      Pavarde575       7.2
Vardas576      Pavarde576      2.12
Vardas577      Pavarde577      5.44
Vardas578      Pavarde578      4.88
Vardas579      Pavarde579      4.12
Vardas580      Pavarde580      8.04
Vardas581      Pavarde581      4.68
Vardas582      Pavarde582      2.84
Vardas583      Pavarde583      3.24
Vardas584      Pavarde584      3.48
Vardas585      Pavarde585         7
Vardas586      Pavarde586      2.64
Vardas587      Pavarde587      7.36
Vardas588      Pavarde588      7.92
Vardas589      Pavarde589         7
Vardas590      Pavarde590       7.4
Vardas591      Pavarde591       4.6
Vardas592      Pavarde592      6.24
Vardas593      Pavarde593      5.04
Vardas594      Pavarde594      6.52
Vardas595      Pavarde595      4.04
Vardas596      Pavarde596      6.56
Vardas597      Pavarde597      7.12
Vardas598      Pavarde598      8.08
Vardas599      Pavarde599      5.08
Vardas600      Pavarde600       6.6
Vardas601      Pavarde601      5.16
Vardas602      Pavarde602         5
Vardas603      Pavarde603       4.8
Vardas604      Pavarde604       5.4
Vardas605      Pavarde605      5.76
Vardas606      Pavarde606      3.08
Vardas607      Pavarde607       3.8
Vardas608      Pavarde608      8.48
Vardas609      Pavarde609      6.56
Vardas610      Pavarde610      5.92
Vardas611      Pavarde611      6.92
Vardas612      Pavarde612      7.48
Vardas613      Pavarde613      2.88
Vardas614      Pavarde614      7.72
Vardas615      Pavarde615      5.96
Vardas616      Pavarde616      2.44
Vardas617      Pavarde617      7.88
Vardas618      Pavarde618      4.36
Vardas619      Pavarde619      7.24
Vardas620      Pavarde620      7.08
Vardas621      Pavarde621      3.12
Vardas622      Pavarde622      7.52
Vardas623      Pavarde623      5.04
Vardas624      Pavarde624      7.16
Vardas625      Pavarde625      5.84
Vardas626      Pavarde626      3.32
Vardas627      Pavarde627      4.44
Vardas628      Pavarde628      2.84
Vardas629      Pavarde629      4.48
Vardas630      Pavarde630       5.4
Vardas631      Pavarde631       4.8
Vardas632      Pavarde632      3.12
Vardas633      Pavarde633      4.28
Vardas634      Pavarde634      3.52
Vardas635      Pavarde635      4.52
Vardas636      Pavarde636      3.52
Vardas637      Pavarde637      6.92
Vardas638      Pavarde638      8.12
Vardas639      Pavarde639      4.44
Vardas640      Pavarde640      5.32
Vardas641      Pavarde641      8.32
Vardas642      Pavarde642         7
Vardas643      Pavarde643      3.92
Vardas644      Pavarde644      6.04
Vardas645      Pavarde645      7.04
Vardas646      Pavarde646      8.48
Vardas647      Pavarde647      7.68
Vardas648      Pavarde648      3.56
Vardas649      Pavarde649      5.32
Vardas650      Pavarde650       5.8
Vardas651      Pavarde651      2.44
Vardas652      Pavarde652         3
Vardas653      Pavarde653      6.28
Vardas654      Pavarde654      3.64
Vardas655      Pavarde655      6.88
Vardas656      Pavarde656       9.6
Vardas657      Pavarde657      6.92
Vardas658      Pavarde658      5.88
Vardas659      Pavarde659      2.48
Vardas660      Pavarde660      2.28
Vardas661      Pavarde661      6.32
Vardas662      Pavarde662      3.92
Vardas663      Pavarde663      6.04
Vardas664      Pavarde664      5.76
Vardas665      Pavarde665      2.88
Vardas666      Pavarde666      4.36
Vardas667      Pavarde667      8.64
Vardas668      Pavarde668      4.64
Vardas669      Pavarde669      3.68
Vardas670      Pavarde670      6.88
Vardas671      Pavarde671      5.64
Vardas672      Pavarde672      5.84
Vardas673      Pavarde673      7.48
Vardas674      Pavarde674      5.56
Vardas675      Pavarde675      3.56
Vardas676      Pavarde676         8
Vardas677      Pavarde677      3.96
Vardas678      Pavarde678      5.36
Vardas679      Pavarde679      5.08
Vardas680      Pavarde680      5.56
Vardas681      Pavarde681      6.68
Vardas682      Pavarde682      5.24
Vardas683      Pavarde683       8.8
Vardas684      Pavarde684      5.44
Vardas685      Pavarde685       3.2
Vardas686      Pavarde686       4.4
Vardas687      Pavarde687       3.8
Vardas688      Pavarde688         5
Vardas689      Pavarde689      3.52
Vardas690      Pavarde690       4.4
Vardas691      Pavarde691      7.76
Vardas692      Pavarde692      7.88
Vardas693      Pavarde693       3.4
Vardas694      Pavarde694       3.4
Vardas695      Pavarde695       5.8
Vardas696      Pavarde696      7.24
Vardas697      Pavarde697      7.92
Vardas698      Pavarde698      7.16
Vardas699      Pavarde699      2.92
Vardas700      Pavarde700      4.64
Vardas701      Pavarde701      2.68
Vardas702      Pavarde702      8.96
Vardas703      Pavarde703      4.16
Vardas704      Pavarde704      4.36
Vardas705      Pavarde705      5.88
Vardas706      Pavarde706      7.28
Vardas707      Pavarde707      7.96
Vardas708      Pavarde708      4.48
Vardas709      Pavarde709      3.84
Vardas710      Pavarde710       2.8
Vardas711      Pavarde711       4.6
Vardas712      Pavarde712       4.6
Vardas713      Pavarde713       4.2
Vardas714      Pavarde714      5.56
Vardas715      Pavarde715      4.52
Vardas716      Pavarde716      3.16
Vardas717      Pavarde717      3.24
Vardas718      Pavarde718      7.24
Vardas719      Pavarde719      5.12
Vardas720      Pavarde720       7.8
Vardas721      Pavarde721       6.6
Vardas722      Pavarde722      6.64
Vardas723      Pavarde723      8.16
Vardas724      Pavarde724       5.4
Vardas725      Pavarde725      2.84
Vardas726      Pavarde726      2.04
Vardas727      Pavarde727      7.48
Vardas728      Pavarde728      4.68
Vardas729      Pavarde729      5.28
Vardas730      Pavarde730      5.88
Vardas731      Pavarde731      6.64
Vardas732      Pavarde732      4.52
Vardas733      Pavarde733      5.16
Vardas734      Pavarde734      3.68
Vardas735      Pavarde735      8.64
Vardas736      Pavarde736      6.56
Vardas737      Pavarde737      7.76
Vardas738      Pavarde738      3.64
Vardas739      Pavarde739      3.52
Vardas740      Pavarde740       3.4
Vardas741      Pavarde741      6.52
Vardas742      Pavarde742       4.2
Vardas743      Pavarde743      7.12
Vardas744      Pavarde744      8.72
Vardas745      Pavarde745       4.4
Vardas746      Pavarde746      4.44
Vardas747      Pavarde747      2.84
Vardas748      Pavarde748      6.56
Vardas749      Pavarde749      6.48
Vardas750      Pavarde750      3.72
Vardas751      Pavarde751      4.08
Vardas752      Pavarde752      4.12
Vardas753      Pavarde753       5.2
Vardas754      Pavarde754      5.72
Vardas755      Pavarde755      3.48
Vardas756      Pavarde756       4.6
Vardas757      Pavarde757      7.12
Vardas758      Pavarde758      6.84
Vardas759      Pavarde759      5.72
Vardas760      Pavarde760       6.2
Vardas761      Pavarde761      4.36
Vardas762      Pavarde762       4.6
Vardas763      Pavarde763      4.28
Vardas764      Pavarde764      4.04
Vardas765      Pavarde765      7.28
Vardas766      Pavarde766         6
Vardas767      Pavarde767      6.16
Vardas768      Pavarde768      6.48
Vardas769      Pavarde769      7.32
Vardas770      Pavarde770      7.56
Vardas771      Pavarde771      6.32
Vardas772      Pavarde772      5.12
Vardas773      Pavarde773      6.56
Vardas774      Pavarde774      7.88
Vardas775      Pavarde775      5.52
Vardas776      Pavarde776      8.24
Vardas777      Pavarde777      5.16
Vardas778      Pavarde778      8.08
Vardas779      Pavarde779      5.12
Vardas780      Pavarde780      2.76
Vardas781      Pavarde781      1.88
Vardas782      Pavarde782      8.36
Vardas783      Pavarde783      5.16
Vardas784      Pavarde784      2.36
Vardas785      Pavarde785       7.8
Vardas786      Pavarde786         4
Vardas787      Pavarde787      7.24
Vardas788      Pavarde788      3.32
Vardas789      Pavarde789      7.64
Vardas790      Pavarde790      6.56
Vardas791      Pavarde791      8.04
Vardas792      Pavarde792      8.24
Vardas793      Pavarde793      4.76
Vardas794      Pavarde794       6.6
Vardas795      Pavarde795      7.68
Vardas796      Pavarde796      4.12
Vardas797      Pavarde797      7.44
Vardas798      Pavarde798      7.04
Vardas799      Pavarde799      8.12
Vardas800      Pavarde800      5.56
Vardas801      Pavarde801       6.8
Vardas802      Pavarde802      7.76
Vardas803      Pavarde803      6.16
Vardas804      Pavarde804         6
Vardas805      Pavarde805      3.96
Vardas806      Pavarde806      7.04
Vardas807      Pavarde807      6.32
Vardas808      Pavarde808      8.56
Vardas809      Pavarde809      3.84
Vardas810      Pavarde810      6.92
Vardas811      Pavarde811      5.16
Vardas812      Pavarde812      6.68
Vardas813      Pavarde813      4.76
Vardas814      Pavarde814      2.68
Vardas815      Pavarde815       4.6
Vardas816      Pavarde816      5.24
Vardas817      Pavarde817      6.56
Vardas818      Pavarde818      3.16
Vardas819      Pavarde819      3.44
Vardas820      Pavarde820      5.56
Vardas821      Pavarde821       4.6
Vardas822      Pavarde822      8.08
Vardas823      Pavarde823      4.68
